NAME,TYPE,ORIGIN,ORGANIC,"AVAILABLE AT (ITEM, CHAIN, PLU, ORDER LIMIT, QUANTITY, PRICE)",,,,,,,,,,
Sunflower Butter,Other,Alabama,No,"(Sunflower Butter,Trader Joe's,10001,4,160,8.23)",,,,,,,,,,
Swiss Cheese,Dairy,Italy,No,,,,,,,,,,,
Toilet Paper,Personal Care,Kentucky,No,,,,,,,,,,,
Toothbrush,Personal Care,Kansas,No,,,,,,,,,,,
Toothpaste,Personal Care,Florida,No,,,,,,,,,,,
Turkey Wings,Meat,Georgia,No,,,,,,,,,,,
White Bread,Bakery,Georgia,No,"(White Bread,Kroger,10001,8,220,7.52)",,,,,,,,,,
Whole Milk,Dairy,Georgia,Yes,"(Whole Milk,Sprouts,10002,8,370,15.26)",,,,,,,,,,
Yellow Curry Powder,Other,India,No,"(Yellow Curry Powder,Sprouts,10003,7,230,16.72)",,,,,,,,,,
Yogurt,Dairy,Georgia,No,"(Yogurt,Kroger,10003,6,330,3.27)",,,,,,,,,,
